,Id,Variable_Type,Hi,HiHi,Value,Timestamp
1089,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:24:57.622000+00:00
1269,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:24:56.478000+00:00
1090,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.015625,2022-05-28 15:24:56.478000+00:00
1091,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:24:55.243000+00:00
1092,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:24:54.103000+00:00
1270,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:24:54.103000+00:00
1271,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:24:52.952000+00:00
1093,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:24:52.952000+00:00
1272,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4609375,2022-05-28 15:24:51.764000+00:00
1094,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:24:51.764000+00:00
1273,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:24:50.638000+00:00
1095,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.215625,2022-05-28 15:24:50.638000+00:00
1096,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:24:49.463000+00:00
1274,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:24:49.463000+00:00
1097,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:24:47.148000+00:00
1275,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:24:47.148000+00:00
1276,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:24:46.007000+00:00
1098,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:24:46.007000+00:00
1099,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:24:44.882000+00:00
1277,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:24:43.720000+00:00
1100,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.40625,2022-05-28 15:24:43.720000+00:00
1101,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2593751,2022-05-28 15:24:42.547000+00:00
1278,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:24:42.547000+00:00
1102,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.01875,2022-05-28 15:24:41.234000+00:00
1279,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:24:40.052000+00:00
1103,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1125,2022-05-28 15:24:40.052000+00:00
1280,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:24:39.172000+00:00
1281,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:24:38.014000+00:00
1104,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:24:38.014000+00:00
1105,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1125,2022-05-28 15:24:36.898000+00:00
1282,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:24:36.898000+00:00
1106,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.3125,2022-05-28 15:24:35.726000+00:00
1283,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:24:35.726000+00:00
1107,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.409375,2022-05-28 15:24:33.749000+00:00
1284,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:24:33.749000+00:00
1108,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:24:32.563000+00:00
1285,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:24:31.422000+00:00
1109,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:24:31.422000+00:00
